timeMillis,timeElapsed,pressure,alt,altV,predictedApogee,dragCoefCmd,dragAngle,flightState
5216,0,1021.9774,-0.0320,-1.1509,0.0355,0.7500,135.0000,1
5226,0,1021.9698,-0.0206,-1.1251,0.0439,0.7500,135.0000,1
5236,0,1021.9643,0.0052,-1.0322,0.0595,0.7500,135.0000,1
5246,0,1021.9696,0.0186,-0.9599,0.0655,0.7500,135.0000,1
5256,0,1021.9708,0.0325,-0.7380,0.0603,0.7500,135.0000,1
5266,0,1021.9680,0.0361,-0.6709,0.0591,0.7500,135.0000,1
5276,0,1021.9671,0.0299,-0.5367,0.0446,0.7500,135.0000,1
5286,0,1021.9703,0.0289,-0.2375,0.0318,0.7500,135.0000,1
5296,0,1021.9624,0.0464,0.2529,0.0497,0.7500,135.0000,1
5306,0,1021.9632,0.0562,0.6451,0.0775,0.7500,135.0000,1
5316,0,1021.9629,0.0655,0.9754,0.1140,0.7500,135.0000,1
5326,0,1021.9478,0.1135,1.3418,0.2053,0.7500,135.0000,1
5336,0,1021.9618,0.1146,1.0941,0.1756,0.7500,135.0000,1
5346,0,1021.9589,0.1233,1.0477,0.1793,0.7500,135.0000,1
5356,0,1021.9568,0.1368,1.0425,0.1921,0.7500,135.0000,1
5366,0,1021.9551,0.1208,0.8464,0.1573,0.7500,135.0000,1
5376,0,1021.9576,0.1300,1.0012,0.1811,0.7500,135.0000,1
5386,0,1021.9595,0.1290,1.0012,0.1801,0.7500,135.0000,1
5396,0,1021.9587,0.1244,0.7793,0.1553,0.7500,135.0000,1
5406,0,1021.9462,0.1440,0.8774,0.1832,0.7500,135.0000,1
5416,0,1021.9451,0.1698,1.0425,0.2252,0.7500,135.0000,1
5426,0,1021.9521,0.1853,0.7174,0.2115,0.7500,135.0000,1
5436,0,1021.9508,0.2023,0.8774,0.2415,0.7500,135.0000,1
5446,0,1021.9482,0.1976,0.7432,0.2258,0.7500,135.0000,1
5456,0,1021.9430,0.2023,0.6554,0.2242,0.7500,135.0000,1
5466,0,1021.9470,0.2131,0.9238,0.2566,0.7500,135.0000,1
5476,0,1021.9469,0.2214,0.9135,0.2639,0.7500,135.0000,1
5486,0,1021.9454,0.2276,0.9857,0.2771,0.7500,135.0000,1
5496,0,1021.9449,0.2234,0.9909,0.2735,0.7500,135.0000,1
5506,0,1021.9390,0.2405,0.9651,0.2879,0.7500,135.0000,1
